N,P,K,humidity,ph,temperature,rainfall,label
81,54,45,82.3,6.78,24.2,223.9,rice
14,22,13,64.4,6.58,22.7,44.4,wheat
31,70,18,64.7,6.32,23.4,119.8,maize
27,21,35,66.7,6.57,28.4,119.2,cotton
81,55,46,81.6,6.38,24.9,125.3,sugarcane
100,75,55,61.3,6.61,29.4,127,banana
21,33,32,54.8,6.24,29.6,91.6,mango
21,30,23,66.8,6.49,11.9,144.9,apple
61,39,37,66.6,7.35,20.4,105,orange
59,22,54,71.1,6.75,28.7,213,coconut
42,61,24,54.1,7.19,22.8,79,chickpea
19,51,16,63.2,6.4,19.6,104.6,kidneybeans
20,40,20,58.9,6.2,20.2,71.8,pigeonpeas
29,46,29,61.3,6.56,24.4,106.3,blackgram
15,41,30,70.5,6.24,25.8,106.5,mungbean
24,49,15,47.4,6.58,22.8,74.6,lentil
39,22,25,47.2,7.31,24.5,60.8,pomegranate
34,22,24,55.4,6.91,28.3,61.8,grapes
34,21,21,66.9,6.82,31.7,70.5,watermelon
22,15,28,50.6,6.2,33.1,45.6,muskmelon
100,40,40,78.2,5.81,23.3,160,coffee
75,48,37,70.4,7.33,24.8,196.7,jute
68,37,40,78.2,5.73,25.6,208.2,rice
29,24,17,61.7,6.81,18.3,51.7,wheat
25,66,16,63.3,5.92,22.4,91.6,maize
32,22,27,72.7,6.15,26.9,118.6,cotton
118,59,49,70.4,7.16,30.8,142.2,sugarcane
114,88,49,66.7,6.96,25.4,126.4,banana
44,27,20,54,6.58,28.5,139.5,mango
22,17,25,67.7,6.33,11.3,114.4,apple
62,25,25,62.4,6.77,24.4,107.9,orange
62,30,50,73,6.46,28,163.9,coconut
44,70,22,59.8,6.66,26.6,58.9,chickpea
34,62,24,54.3,6.56,21.2,73.4,kidneybeans
21,54,26,49.1,6.49,21.7,114.4,pigeonpeas
29,43,22,69.8,6.48,29.8,79.5,blackgram
21,36,21,58.1,6.44,26,84,mungbean
19,59,16,46.9,6.5,20.8,71.2,lentil
38,34,22,43.8,6.55,31.2,50.6,pomegranate
30,33,29,59.8,7.19,26.9,98.6,grapes
29,23,23,62.5,6.78,26.6,67.3,watermelon
23,21,22,57.2,7.46,24.7,47.4,muskmelon
70,39,44,78.5,5.32,25.4,228.2,coffee
84,31,30,84.7,6.22,33.5,211.7,jute
84,39,41,88.4,6.76,26.5,237.8,rice
21,22,17,64.8,6.61,18.9,32.5,wheat
34,57,22,70.1,6.11,26,80.2,maize
34,19,29,70.3,6.53,30.2,142.3,cotton
106,50,60,70.9,6.23,28.3,159,sugarcane
92,71,54,72.9,7.44,25.4,166.7,banana
21,35,33,51.3,6.53,30.3,136.1,mango
36,27,33,64.9,5.84,15.7,107.4,apple
44,31,37,59,6.71,24.6,87.1,orange
70,35,48,79.7,6.25,29.3,239.1,coconut
43,69,23,46.1,6.31,18.5,74,chickpea
16,54,17,61.7,5.93,20.3,60.7,kidneybeans
24,51,23,58.7,5.94,30.1,80,pigeonpeas
19,57,23,70.5,6.49,26,128.3,blackgram
26,50,28,55.4,6.97,29.6,69.6,mungbean
23,41,20,61.5,7.47,17.6,72.2,lentil
21,24,18,56.4,6.6,28.8,61.1,pomegranate
45,22,35,62.7,7.36,22.6,88.9,grapes
23,23,18,62,6.45,24.7,54.4,watermelon
37,18,15,55.7,6.1,24.3,47,muskmelon
95,39,44,82.4,5.02,25.5,205.5,coffee
71,40,31,78.3,6.15,26.3,163.3,jute
74,46,38,76.4,5.95,27.7,234.6,rice
25,25,10,54.8,7.16,15.3,45.2,wheat
40,64,20,73.6,6.29,29.1,106.9,maize
25,25,27,67.3,6.55,30.5,118.4,cotton
113,49,46,82.2,7.02,25.2,143.3,sugarcane
101,73,51,67.6,6.65,27.7,147,banana
47,33,37,55.6,6.33,33.2,135.8,mango
30,30,27,64.6,6.28,16.1,148.4,apple
40,38,24,60.5,6.8,19.8,112.7,orange
75,29,56,84.9,6.09,30.1,171.3,coconut
48,78,19,45.9,6.82,27.4,73.6,chickpea
29,55,27,55,6.2,23.8,98.9,kidneybeans
24,42,18,60.7,5.94,27.1,99.7,pigeonpeas
20,52,18,68.1,7.08,29,96.6,blackgram
26,49,16,62.4,6.49,33.9,74.4,mungbean
22,42,16,55.8,6.32,17.6,71.6,lentil
33,27,27,57.7,6.33,24.5,66.4,pomegranate
48,22,31,46.8,7.44,26.9,55.8,grapes
22,16,24,74.5,7.09,34.1,113.8,watermelon
39,30,28,65.3,7.37,29.4,95.9,muskmelon
89,20,52,84.8,5.45,19.8,224,coffee
82,33,37,76,6.3,30.2,210.9,jute
75,50,39,78.4,6.16,20.7,233.4,rice
19,20,12,60.4,6.98,19.7,68.9,wheat
24,55,23,71,6.4,25.2,115,maize
30,21,27,72.5,6.91,31.1,107.1,cotton
100,52,56,75.6,7,24.6,204.3,sugarcane
115,85,52,67.9,6.51,30.1,137.2,banana
26,31,25,56.3,5.79,24.7,81.5,mango
27,22,29,70.7,6.33,15.6,106.5,apple
58,22,35,57.5,6.4,29.5,98.4,orange
79,35,48,82.2,6.54,30.9,244.6,coconut
30,70,17,52.6,6.54,21.7,50.6,chickpea
15,66,22,60.7,5.63,15,84.5,kidneybeans
24,52,15,55.1,6.58,31.6,76.5,pigeonpeas
30,60,15,77,6.98,28.6,71.2,blackgram
19,48,29,67.8,6.37,28.2,100.6,mungbean
15,57,15,65,6.16,16.2,76.1,lentil
25,35,23,44.9,7.41,22.6,47.9,pomegranate
30,28,22,46,6.01,29.5,91,grapes
26,20,15,65.5,6.22,23.5,114.5,watermelon
28,28,30,50.3,6.83,28.3,87.4,muskmelon
83,28,55,87.2,5.3,23.3,232.9,coffee
90,50,48,80.6,6.1,32.7,211.3,jute
60,55,40,78.2,6.73,25.5,224.1,rice
29,14,13,57.1,6.11,17.1,34.4,wheat
22,58,18,72.8,6.19,25.6,88.1,maize
34,19,25,77.1,6.7,28.6,145.1,cotton
120,46,43,79.4,6.4,24.7,200.8,sugarcane
100,74,53,60.1,6.57,27,183.5,banana
21,30,31,61.5,5.85,33.5,104.9,mango
31,34,28,62.7,5.59,12.9,105.2,apple
60,39,25,63.9,6.09,27.8,95,orange
79,24,41,71.4,6.13,30.6,246.2,coconut
